developer,count,min_total_sales,max_total_sales,total_sales_sum,total_sales_mean,total_sales_median
07th Expansion,3,0.02,0.11,0.2,0.06666666666666667,0.07
0verflow,2,0.0,0.02,0.02,0.01,0.01
10tacle Studios AG,2,0.03,0.16,0.19,0.095,0.095
11 bit studios,2,0.01,0.03,0.04,0.02,0.02
13AM Games,1,0.02,0.02,0.02,0.02,0.02
1C Company,2,0.0,0.0,0.0,0.0,0.0
1C Company / Avalon Style,1,0.0,0.0,0.0,0.0,0.0
1C Maddox Games,1,0.01,0.01,0.01,0.01,0.01
1C: Maddox Games,4,0.0,0.05,0.11,0.0275,0.03
1C:Ino-Co,3,0.02,0.04,0.08,0.02666666666666667,0.02
1st Playable,1,0.07,0.07,0.07,0.07,0.07
1st Playable Productions,21,0.02,3.14,11.290000000000001,0.5376190476190477,0.33
1st Playable Productions / OneNine Studios,1,0.95,0.95,0.95,0.95,0.95
"2015, Inc.",2,0.0,0.25,0.25,0.125,0.125
20th Century Fox Video Games,5,0.22,0.79,1.9300000000000002,0.386,0.34
2D Boy,1,0.03,0.03,0.03,0.03,0.03
2K Australia / 2K Boston,1,2.83,2.83,2.83,2.83,2.83
2K Boston / 2K Australia / 2K Marin,1,1.44,1.44,1.44,1.44,1.44
2K Czech,3,0.14,0.69,1.24,0.41333333333333333,0.41
2K Games,5,0.08,0.86,1.52,0.304,0.18
2K Marin,5,0.05,2.2,4.29,0.858,0.27
2K Play,2,0.08,0.1,0.18,0.09,0.09
2K Shanghai,1,0.26,0.26,0.26,0.26,0.26
2K Sports,11,0.01,0.21,1.12,0.10181818181818182,0.1
2Wg,1,0.0,0.0,0.0,0.0,0.0
2XL Games,4,0.03,0.21,0.49,0.1225,0.125
3 O'Clock,2,0.03,0.03,0.06,0.03,0.03
343 Industries,3,2.41,9.96,15.81,5.2700000000000005,3.44
369 Interactive,3,0.0,0.12,0.12,0.04,0.0
38 Studios,2,0.85,0.87,1.72,0.86,0.86
3D Realms,3,0.0,0.02,0.04,0.013333333333333334,0.02
3DClouds.it,2,0.01,0.03,0.04,0.02,0.02
3DO,34,0.0,1.28,8.870000000000001,0.2608823529411765,0.17
3Division,1,0.03,0.03,0.03,0.03,0.03
3G Studios,2,0.04,1.27,1.31,0.655,0.655
3d6 Games,4,0.09,1.71,2.01,0.5025,0.105
49Games,23,0.01,1.25,3.29,0.14304347826086958,0.07
4J Studios,10,0.01,3.12,9.370000000000001,0.937,0.125
4a-games,6,0.24,0.68,2.56,0.4266666666666667,0.395
4mm Games / Terminal Reality,3,0.3,0.35,0.98,0.32666666666666666,0.33
5000ft,3,0.03,0.07,0.13,0.043333333333333335,0.03
505 Games,26,0.0,0.45,2.89,0.11115384615384616,0.08
5TH Cell,12,0.0,1.47,4.38,0.365,0.12000000000000001
5pb. Games,32,0.0,0.11,0.56,0.0175,0.01
5pb. Inc.,33,0.0,0.15,1.12,0.03393939393939394,0.02
7 Raven Studios Co. Ltd.,1,0.0,0.0,0.0,0.0,0.0
7 Studios,16,0.03,0.69,3.82,0.23875,0.2
777 Studios,1,0.01,0.01,0.01,0.01,0.01
7G//AMES,1,0.02,0.02,0.02,0.02,0.02
7thChord,3,0.03,0.38,0.49,0.16333333333333333,0.08
8MonkeyLabs,1,0.1,0.1,0.1,0.1,0.1
8ing/Raizing,7,0.07,1.04,2.37,0.3385714285714286,0.18
8ting/Raizing,1,1.02,1.02,1.02,1.02,1.02
93 Games Studio,1,0.0,0.0,0.0,0.0,0.0
989 Sports,35,0.1,1.0,13.21,0.37742857142857145,0.31
989 Studios,2,1.28,1.73,3.01,1.505,1.505
A'sRing,1,0.0,0.0,0.0,0.0,0.0
A+ Games,1,0.01,0.01,0.01,0.01,0.01
A-Max,2,0.19,0.45,0.64,0.32,0.32
A.S.K. Homework,3,0.0,0.14,0.17,0.05666666666666667,0.03
A1 Games,2,0.01,0.07,0.08,0.04,0.04
A2M,10,0.02,0.7,3.15,0.315,0.29000000000000004
ACES Studio/Microsoft Game Studios,1,0.47,0.47,0.47,0.47,0.47
ACOT,1,0.13,0.13,0.13,0.13,0.13
ADELTA,1,0.01,0.01,0.01,0.01,0.01
AGEOD,2,0.0,0.01,0.01,0.005,0.005
AI,3,0.1,0.47,0.79,0.26333333333333336,0.22
AKABEi SOFT2,1,0.02,0.02,0.02,0.02,0.02
AKI Corporation / EA Canada,1,1.76,1.76,1.76,1.76,1.76
AMA Studios,1,0.6,0.6,0.6,0.6,0.6
AOne Games,1,0.04,0.04,0.04,0.04,0.04
AQ Interactive,8,0.0,0.26,0.75,0.09375,0.07500000000000001
AQUA STYLE,3,0.02,0.05,0.09,0.03,0.02
ARC Entertainment,2,0.42,1.05,1.47,0.735,0.735
ARIA,1,0.07,0.07,0.07,0.07,0.07
ART Co.,2,0.06,0.12,0.18,0.09,0.09
ASC Games,1,0.62,0.62,0.62,0.62,0.62
ASCII Entertainment,5,0.08,1.15,3.32,0.6639999999999999,0.87
ASCII Entertainment / Tirnanog,1,0.39,0.39,0.39,0.39,0.39
ASCII Media Works,11,0.01,0.1,0.39,0.035454545454545454,0.02
ASK,2,0.03,0.14,0.17,0.085,0.085
"ASK Co. Ltd., Ornith",1,0.27,0.27,0.27,0.27,0.27
ASK Corporation,1,0.0,0.0,0.0,0.0,0.0
ASa Project,2,0.01,0.03,0.04,0.02,0.02
AWE Games,9,0.0,0.5,1.3800000000000001,0.15333333333333335,0.09
"AWE Productions, Inc.",1,0.0,0.0,0.0,0.0,0.0
Aardman Animations,1,0.0,0.0,0.0,0.0,0.0
Aardvark Software,1,0.61,0.61,0.61,0.61,0.61
Abel Software,4,0.0,0.01,0.02,0.005,0.005
Abstraction Games,1,0.02,0.02,0.02,0.02,0.02
Access,2,0.01,0.03,0.04,0.02,0.02
Access Games,7,0.04,0.26,1.0,0.14285714285714285,0.16
Acclaim,1,0.48,0.48,0.48,0.48,0.48
Acclaim Entertainment,28,0.0,1.76,8.9,0.3178571428571429,0.195
Acclaim Studios Austin,10,0.06,1.31,3.73,0.373,0.275
Acclaim Studios Cheltenham,11,0.0,0.4,1.47,0.13363636363636364,0.11
Acclaim Studios London,1,0.26,0.26,0.26,0.26,0.26
Acclaim Studios Salt Lake City,1,1.33,1.33,1.33,1.33,1.33
Acclaim Studios Teesside,3,0.16,0.27,0.68,0.22666666666666668,0.25
Acclaim Studios Austin,2,0.12,0.3,0.42,0.21,0.21
Acclaim Studios Cheltenham,2,0.02,0.03,0.05,0.025,0.025
Acclaim Studios Salt Lake City,6,0.12,0.76,1.61,0.26833333333333337,0.135
Acquire,33,0.0,1.99,6.43,0.19484848484848483,0.11
Action Forms Ltd.,1,0.0,0.0,0.0,0.0,0.0
Activision,101,0.0,1.6,27.79,0.2751485148514851,0.18
Activision Value,6,0.03,0.47,1.15,0.19166666666666665,0.175
Adeline Software,2,0.01,0.17,0.18000000000000002,0.09000000000000001,0.09000000000000001
Adrenalin Entertainment,3,0.02,0.18,0.31,0.10333333333333333,0.11
Adrenalin Interactive,5,0.13,0.57,1.62,0.324,0.28
Adrenium,3,0.02,0.24,0.32,0.10666666666666667,0.06
Adrenium Games,3,0.12,0.64,1.02,0.34,0.26
Advanced Technology Group,1,1.27,1.27,1.27,1.27,1.27
Aerosoft,2,0.0,0.0,0.0,0.0,0.0
"Affect Co., Ltd.",1,0.0,0.0,0.0,0.0,0.0
Agate Studio,1,0.02,0.02,0.02,0.02,0.02
Agatsuma Entertainment,3,0.01,0.54,0.63,0.21,0.08
Agenda,4,0.01,0.06,0.13,0.0325,0.03
Agetec Inc.,1,0.5,0.5,0.5,0.5,0.5
Airship Syndicate,3,0.04,0.06,0.15,0.049999999999999996,0.05
Airtight Games,7,0.02,0.35,1.42,0.20285714285714285,0.17
Aisystem Tokyo,2,0.07,0.1,0.17,0.085,0.085
Akella,6,0.0,0.29,0.32,0.05333333333333334,0.005
Aki Corp,1,0.09,0.09,0.09,0.09,0.09
Aki Corp.,5,0.54,2.38,7.57,1.514,1.5
Aki Corporation,8,0.05,1.94,3.35,0.41875,0.18
Aksys Games,3,0.05,0.13,0.25,0.08333333333333333,0.07
Al,2,0.12,0.18,0.3,0.15,0.15
"Alawar Entertainment, Inc.",7,0.0,0.04,0.08,0.011428571428571429,0.01
Alchemist,37,0.01,1.22,2.34,0.06324324324324324,0.02
Alcot,1,0.01,0.01,0.01,0.01,0.01
Alfa System,15,0.01,0.28,1.31,0.08733333333333333,0.07
Alice Soft,1,0.02,0.02,0.02,0.02,0.02
Almanic Corp.,1,0.43,0.43,0.43,0.43,0.43
Alpha Unit,4,0.0,0.39,0.62,0.155,0.11499999999999999
AlphaDream Corporation,4,0.01,0.51,0.81,0.2025,0.14500000000000002
Alpine Studios,1,0.06,0.06,0.06,0.06,0.06
Altar Interactive,3,0.0,0.02,0.02,0.006666666666666667,0.0
Alternative Software,2,0.02,0.03,0.05,0.025,0.025
Altron,25,0.02,1.61,9.35,0.374,0.22
Altron Corporation,1,0.03,0.03,0.03,0.03,0.03
Alvion Inc.,2,0.02,0.02,0.04,0.02,0.02
Amanodai,1,0.07,0.07,0.07,0.07,0.07
Amaze,1,0.26,0.26,0.26,0.26,0.26
Amaze Entertainment,36,0.04,2.14,11.68,0.3244444444444444,0.165
Amaze Entertainment / Griptonite Games,2,0.18,0.33,0.51,0.255,0.255
Amazing Studios,1,0.32,0.32,0.32,0.32,0.32
Ambrella,4,0.0,0.77,1.26,0.315,0.245
Amedio,3,0.07,0.08,0.22000000000000003,0.07333333333333335,0.07
Amusement Vision,8,0.05,1.52,4.37,0.54625,0.26
Amuze,3,0.02,0.38,0.44,0.14666666666666667,0.04
Anchor,2,0.3,0.55,0.8500000000000001,0.42500000000000004,0.42500000000000004
Anchor Bay Entertainment,1,0.08,0.08,0.08,0.08,0.08
Anchor Entertainment,1,0.05,0.05,0.05,0.05,0.05
"Anchor, Inc.",1,0.56,0.56,0.56,0.56,0.56
Ancient,3,0.02,0.05,0.11,0.03666666666666667,0.04
Anco,1,0.15,0.15,0.15,0.15,0.15
Andamiro U.S.A. Corp.,2,0.02,0.06,0.08,0.04,0.04
Andrew Russell,1,0.0,0.0,0.0,0.0,0.0
Angel Studios,13,0.0,2.63,6.3,0.4846153846153846,0.27
Anima Games Studio,1,0.04,0.04,0.04,0.04,0.04
Animation Arts,1,0.11,0.11,0.11,0.11,0.11
Anino Entertainment,1,0.06,0.06,0.06,0.06,0.06
Answer Software,1,0.5,0.5,0.5,0.5,0.5
Anuman Interactive,2,0.0,0.0,0.0,0.0,0.0
Any Channel,1,0.04,0.04,0.04,0.04,0.04
Ape Studios / HAL Laboratory,1,0.81,0.81,0.81,0.81,0.81
Ape Studios / HAL Laboratory / Brownie Brown,1,0.46,0.46,0.46,0.46,0.46
Apollo,1,0.02,0.02,0.02,0.02,0.02
Appaloosa Interactive,7,0.07,0.71,2.68,0.3828571428571429,0.34
Aqua Pacific,2,0.0,0.09,0.09,0.045,0.045
Aqua Plus,15,0.01,0.13,0.9400000000000001,0.06266666666666668,0.06
Aquamarine,1,0.27,0.27,0.27,0.27,0.27
Aquaplus,11,0.0,0.14,0.56,0.05090909090909091,0.04
Aquria,3,0.22,0.41,0.89,0.2966666666666667,0.26
Arc Developments,2,0.05,0.13,0.18,0.09,0.09
Arc System Works,75,0.0,0.77,8.43,0.1124,0.06
Arcade Moon,4,0.04,0.37,1.06,0.265,0.32499999999999996
ArenaNet,4,0.01,0.05,0.1,0.025,0.02
Argonaut Games,22,0.0,1.98,5.03,0.22863636363636364,0.09
Argonaut Software,1,0.31,0.31,0.31,0.31,0.31
Arika,12,0.0,1.06,4.37,0.3641666666666667,0.2
Arkane Studios,13,0.0,1.97,8.98,0.6907692307692308,0.42
Arkane Studios / Floodgate Entertainment / Kuju Entertainment,2,0.0,0.2,0.2,0.1,0.1
Arkedo Studio,2,0.02,0.06,0.08,0.04,0.04
Armature Studio,4,0.04,0.48,1.05,0.2625,0.265
Armor Project/Bird Studio,1,0.32,0.32,0.32,0.32,0.32
Art,11,0.0,1.94,4.3,0.3909090909090909,0.09
Art Corporation,4,0.02,0.22,0.41000000000000003,0.10250000000000001,0.085
ArtDink,37,0.0,0.32,3.19,0.08621621621621621,0.07
ArtePiazza,2,0.1,0.16,0.26,0.13,0.13
Artech Digital Entertainment,1,0.84,0.84,0.84,0.84,0.84
Artech Studios,10,0.0,1.26,3.01,0.301,0.13
Artefacts Studio,9,0.0,0.17,0.56,0.06222222222222223,0.05
Artefacts Studios,1,0.02,0.02,0.02,0.02,0.02
Artematica,1,0.0,0.0,0.0,0.0,0.0
Artematica Entertainment,1,0.0,0.0,0.0,0.0,0.0
Artex Software,1,0.03,0.03,0.03,0.03,0.03
Artifex Mundi,3,0.0,0.0,0.0,0.0,0.0
Artifex Mundi sp. z o.o.,1,0.01,0.01,0.01,0.01,0.01
Artificial Mind and Movement,69,0.0,2.2,24.69,0.35782608695652174,0.18
Artificial Studios,1,0.11,0.11,0.11,0.11,0.11
Artificial Mind & Movement,3,0.04,0.09,0.16999999999999998,0.056666666666666664,0.04
Artoon,8,0.06,0.96,3.14,0.3925,0.33999999999999997
Arts Software,1,0.08,0.08,0.08,0.08,0.08
Arush Entertainment,1,0.14,0.14,0.14,0.14,0.14
Aruze Corp,3,0.11,0.54,1.1800000000000002,0.39333333333333337,0.53
Arzest,2,0.44,0.7,1.14,0.57,0.57
Ascaron,1,0.04,0.04,0.04,0.04,0.04
Ascaron Entertainment,5,0.02,0.61,1.26,0.252,0.06
Asgard,4,0.03,0.06,0.16999999999999998,0.042499999999999996,0.04
Asmik Ace Entertainment,2,0.04,0.09,0.13,0.065,0.065
"Asmik Ace Entertainment, Inc",2,0.0,0.03,0.03,0.015,0.015
"Asmik Ace Entertainment, Inc.",2,0.16,0.22,0.38,0.19,0.19
Asobo Studio,15,0.02,0.85,4.33,0.2886666666666667,0.24
Aspect,6,0.0,0.42,0.86,0.14333333333333334,0.09000000000000001
Aspyr,5,0.0,0.2,0.28,0.05600000000000001,0.02
Aspyr Media,1,0.07,0.07,0.07,0.07,0.07
Astragon,6,0.0,0.14,0.16,0.02666666666666667,0.005
Asylum Entertainment,11,0.0,0.87,1.94,0.17636363636363636,0.07
Atari,72,0.0,4.31,34.38,0.47750000000000004,0.265
Atari Games,7,0.09,0.75,2.73,0.39,0.42
Atelier Double,3,0.05,0.29,0.41,0.13666666666666666,0.07
Atelier-Sai,3,0.02,0.07,0.15,0.049999999999999996,0.06
Athena,2,0.02,0.07,0.09000000000000001,0.045000000000000005,0.045000000000000005
Atlantis Interactive Entertainment,1,0.0,0.0,0.0,0.0,0.0
Atlus,24,0.0,1.64,5.99,0.24958333333333335,0.135
Atlus Co.,32,0.01,2.4,8.49,0.2653125,0.185
Atlus Co. / Lancarse,2,0.26,0.33,0.5900000000000001,0.29500000000000004,0.29500000000000004
Atomic Games,1,0.01,0.01,0.01,0.01,0.01
Atomic Motion,2,0.03,0.09,0.12,0.06,0.06
Atomic Planet Entertainment,16,0.0,0.91,2.59,0.161875,0.05
Attention To Detail,11,0.0,0.27,1.29,0.11727272727272728,0.13
Attractive Games,1,0.07,0.07,0.07,0.07,0.07
August,3,0.0,0.04,0.05,0.016666666666666666,0.01
Auran Games,2,0.0,0.0,0.0,0.0,0.0
Autumn Moon,1,0.02,0.02,0.02,0.02,0.02
Autumn Moon Entertainment,1,0.02,0.02,0.02,0.02,0.02
Avalanche Productions,1,0.0,0.0,0.0,0.0,0.0
Avalanche Software,69,0.0,3.52,37.46,0.5428985507246377,0.4
Avalanche Software / Ritual Entertainment,2,0.17,0.42,0.59,0.295,0.295
Avalanche Studios,13,0.0,1.98,9.23,0.7100000000000001,0.5
Avalon Hill,1,0.17,0.17,0.17,0.17,0.17
Avalon Style,1,0.04,0.04,0.04,0.04,0.04
Avanquest Software,19,0.0,0.31,0.97,0.05105263157894737,0.02
Avantec,1,0.0,0.0,0.0,0.0,0.0
Awesome Developments,6,0.0,0.06,0.18,0.03,0.035
"Awesome Developments, Ltd.",1,0.01,0.01,0.01,0.01,0.01
Awesome Play Ltd.,1,0.07,0.07,0.07,0.07,0.07
Awesome Productions,1,0.07,0.07,0.07,0.07,0.07
Awesome Studios,1,0.56,0.56,0.56,0.56,0.56
Axela,2,0.02,0.25,0.27,0.135,0.135
Axis Entertainment,3,0.0,0.13,0.17,0.05666666666666667,0.04
B-Alive,2,0.03,0.05,0.08,0.04,0.04
B.Alive,3,0.0,0.08,0.08,0.02666666666666667,0.0
B.B. Studio,5,0.03,0.15,0.45999999999999996,0.092,0.12
BAM! Entertainment,2,0.08,0.15,0.22999999999999998,0.11499999999999999,0.11499999999999999
BCI Software,1,0.0,0.0,0.0,0.0,0.0
BELUGA Computer Inc.,2,0.02,0.08,0.1,0.05,0.05
BIP Games,1,0.12,0.12,0.12,0.12,0.12
Babylon Software,2,0.01,0.02,0.03,0.015,0.015
Backbone Emeryville,1,0.01,0.01,0.01,0.01,0.01
Backbone Entertainment,18,0.03,2.36,9.4,0.5222222222222223,0.175
Backbone Entertainment / Harmonix Music Systems,1,0.5,0.5,0.5,0.5,0.5
Bam Entertainment,1,0.55,0.55,0.55,0.55,0.55
Bamtang,3,0.09,0.13,0.31,0.10333333333333333,0.09
Bandai,70,0.0,1.3,19.76,0.2822857142857143,0.175
Bandai Namco,9,0.03,0.13,0.6900000000000001,0.07666666666666667,0.07
Bandai Namco Games,209,0.0,0.83,19.0,0.09090909090909091,0.06
Bandai Namco Studios,2,0.19,0.37,0.56,0.28,0.28
Banpresto,66,0.01,0.8,12.870000000000001,0.195,0.125
Barking Dog,1,0.0,0.0,0.0,0.0,0.0
Barking Lizards,2,0.01,1.48,1.49,0.745,0.745
Barking Lizards Technologies,2,0.17,0.21,0.38,0.19,0.19
Barking Lizards Technologies LLC,1,0.32,0.32,0.32,0.32,0.32
Barnhouse Effect,3,0.01,1.06,1.1500000000000001,0.38333333333333336,0.08
Barnstorm Games,3,0.02,1.41,1.52,0.5066666666666667,0.09
Barunson Creative,1,0.0,0.0,0.0,0.0,0.0
BattleBorne,2,0.03,0.06,0.09,0.045,0.045
Battlefront,1,0.01,0.01,0.01,0.01,0.01
Beam Software,1,0.07,0.07,0.07,0.07,0.07
Beast,1,0.0,0.0,0.0,0.0,0.0
Beast Studios S.r.l.,1,0.09,0.09,0.09,0.09,0.09
Beautiful Game Studios,7,0.0,0.01,0.02,0.002857142857142857,0.0
Bec,22,0.01,0.28,2.22,0.10090909090909092,0.07
Bedlam Games,1,0.0,0.0,0.0,0.0,0.0
"BeeWorks Co., Ltd",1,0.02,0.02,0.02,0.02,0.02
"BeeWorks Co., Ltd.",3,0.02,0.11,0.23,0.07666666666666667,0.1
Beenox,36,0.0,2.19,8.790000000000001,0.2441666666666667,0.165
Beenox Studios,4,0.19,0.44,1.23,0.3075,0.3
Beep Industries,1,0.12,0.12,0.12,0.12,0.12
Behaviour Interactive,20,0.0,0.4,2.06,0.10300000000000001,0.075
Behaviour Interactive Inc.,11,0.0,0.44,1.82,0.16545454545454547,0.17
Behaviour Studios,4,0.12,0.19,0.56,0.14,0.125
Bell Corporation,1,0.18,0.18,0.18,0.18,0.18
Bemani,7,0.18,2.07,5.39,0.7699999999999999,0.44
Benesse,5,0.01,0.1,0.24000000000000002,0.048,0.05
Bergsala Lightweight,2,0.02,0.03,0.05,0.025,0.025
Best Media,1,0.01,0.01,0.01,0.01,0.01
Best Way,2,0.0,0.03,0.03,0.015,0.015
Bethesda Game Studios,11,0.21,8.88,45.27,4.115454545454546,4.0
Bethesda Softworks,31,0.0,4.47,19.63,0.6332258064516129,0.13
Beyond Games,3,0.11,0.47,0.74,0.24666666666666667,0.16
Beyond Reality,3,0.01,0.05,0.1,0.03333333333333333,0.04
BiArt Studios,1,0.01,0.01,0.01,0.01,0.01
BiP media,1,0.0,0.0,0.0,0.0,0.0
Big Ant Studios,17,0.01,0.18,1.02,0.06,0.05
Big Ape Productions,5,0.04,1.74,4.26,0.852,0.76
Big Bang,1,0.1,0.1,0.1,0.1,0.1
Big Blue Bubble,2,0.03,0.09,0.12,0.06,0.06
Big Blue Bubble Inc.,4,0.02,0.82,1.0799999999999998,0.26999999999999996,0.12
"Big Blue Bubble, Inc.",2,0.11,0.13,0.24,0.12,0.12
Big Deez Productions,3,0.02,0.02,0.06,0.02,0.02
Big Fish Games,32,0.0,0.33,0.5700000000000001,0.017812500000000002,0.0
Big Fish Games / LDW,1,0.26,0.26,0.26,0.26,0.26
Big Grub,2,0.03,2.07,2.0999999999999996,1.0499999999999998,1.0499999999999998
"Big Grub / Shiny Entertainment, Inc.",1,0.08,0.08,0.08,0.08,0.08
Big Head Games,1,0.11,0.11,0.11,0.11,0.11
Big Huge Games,2,0.03,0.06,0.09,0.045,0.045
Big John Games,3,0.01,0.05,0.1,0.03333333333333333,0.04
Big Park,1,1.43,1.43,1.43,1.43,1.43
Big Red Button,1,0.31,0.31,0.31,0.31,0.31
Big Red Software,1,0.01,0.01,0.01,0.01,0.01
Big Sky Software,4,0.09,1.08,1.78,0.445,0.305
Big Time Software,1,0.03,0.03,0.03,0.03,0.03
Bigben Interactive,9,0.02,0.08,0.39,0.043333333333333335,0.03
Bigbig Studios,4,0.17,1.04,1.7000000000000002,0.42500000000000004,0.245
Bigmoon Entertainment,2,0.02,0.05,0.07,0.035,0.035
BioWare,6,0.28,3.04,6.61,1.1016666666666668,0.71
BioWare / Demiurge Studios,1,0.67,0.67,0.67,0.67,0.67
BioWare Corp.,20,0.0,2.19,10.98,0.549,0.43
BioWare Edmonton,10,0.53,3.1,16.95,1.6949999999999998,1.565
Bionic Games,1,0.11,0.11,0.11,0.11,0.11
Birthday,2,0.12,0.3,0.42,0.21,0.21
Bisty,13,0.02,0.19,0.98,0.07538461538461538,0.06
Bit Managers,1,0.0,0.0,0.0,0.0,0.0
Bitfield GmbH,1,0.01,0.01,0.01,0.01,0.01
Bitmap Brothers,2,0.0,0.18,0.18,0.09,0.09
Bitmap Bureau,1,0.02,0.02,0.02,0.02,0.02
Bits Studios,8,0.02,0.23,0.76,0.095,0.08499999999999999
Bizarre Creations,17,0.0,2.04,8.98,0.5282352941176471,0.36
Black Box Games,3,0.05,0.12,0.24,0.08,0.07
Black Element,1,0.0,0.0,0.0,0.0,0.0
Black Forest Games,2,0.01,0.05,0.060000000000000005,0.030000000000000002,0.030000000000000002
Black Hammer Game,1,0.0,0.0,0.0,0.0,0.0
Black Hole Entertainment,2,0.01,0.03,0.04,0.02,0.02
Black Hole Games,1,0.35,0.35,0.35,0.35,0.35
Black Isle Studios,6,0.0,0.68,1.0,0.16666666666666666,0.025
Black Lantern Studios,41,0.0,1.29,11.11,0.2709756097560975,0.19
"Black Lantern Studios, Inc.",11,0.01,0.87,2.11,0.1918181818181818,0.09
Black Lime Games,3,0.0,0.01,0.01,0.0033333333333333335,0.0
Black Market Games,1,0.0,0.0,0.0,0.0,0.0
Black Ops Entertainment,16,0.12,3.21,8.92,0.5575,0.275
Black Rock Studio,8,0.0,2.47,4.86,0.6075,0.365
Black Sea Studios,2,0.02,0.03,0.05,0.025,0.025
Black Ship Games,3,0.02,0.09,0.15,0.049999999999999996,0.04
Black Tower Studios,1,0.01,0.01,0.01,0.01,0.01
